Month,Borough,Equipment Type,Common Name,Total Outages,Scheduled Outages,Unscheduled Outages,Entrapments,Time Since Major Improvement,AM Peak Availability,AM Peak Hours Available,AM Peak Total Hours,PM Peak Availability,PM Peak Hours Available,PM Peak Total Hours,24-Hour Availability,24-Hour Hours Available,24-Hour Total Hours,Station Name,Station MRN,Station Complex Name,Station Complex MRN
1/1/23,Bronx,Elevator,EL190,2,1,1,0,97.0,1.0,124.0,124.0,1.0,124.0,124.0,0.990882616,737.2166667,744.0,KINGSBRIDGERD-CON-B/D,212,Kingsbridge Rd - Station,212
1/1/23,Bronx,Elevator,EL121,6,4,2,0,81.0,1.0,124.0,124.0,0.979032258,121.4,124.0,0.979726703,728.9166667,744.0,PELHAMBAYPARK-PEL-6,360,Pelham Bay Park - Station,360
1/1/23,Brooklyn,Elevator,EL745,6,3,3,0,30.0,0.992607527,123.0833333,124.0,1.0,124.0,124.0,0.979233871,728.55,744.0,86ST-4AV-R,38,86 St - Station,38
1/1/23,Queens,Elevator,EL408,2,2,0,0,70.0,0.977419355,121.2,124.0,1.0,124.0,124.0,0.988396057,735.3666667,744.0,JAMAICAVANWYCK-QBL-E,280,Jamaica Van Wyck - Station,280
1/1/23,Manhattan,Elevator,EL719,6,1,5,0,109.0,1.0,124.0,124.0,0.978897849,121.3833333,124.0,0.98015233,729.2333333,744.0,FULTONST-NAS-J/Z,106,"Fulton St (A,C,J,Z,2,3,4,5)",628
1/1/23,Manhattan,Elevator,EL119,3,2,1,0,29.0,1.0,124.0,124.0,1.0,124.0,124.0,0.989336918,736.0666667,744.0,181ST-8AV-A,146,181 St - Station,146
1/1/23,Manhattan,Elevator,EL325,3,3,0,0,258.0,0.969758065,120.25,124.0,1.0,124.0,124.0,0.981003584,729.8666667,744.0,CANALST-LEX-6,410,"Canal St (J,N,Q,R,Z,6)",623
1/1/23,Manhattan,Elevator,EL403,2,2,0,0,7.0,1.0,124.0,124.0,0.995967742,123.5,124.0,0.993391577,739.0833333,744.0,ROOSEVELTISLAND-63S-F,222,Roosevelt Island - Station,222
1/1/23,Manhattan,Elevator,EL149,2,1,1,0,8.0,1.0,124.0,124.0,0.984677419,122.1,124.0,0.992069892,738.1,744.0,INWOOD-207ST-8AV-A,143,Inwood-207 St - Station,143
1/1/23,Manhattan,Elevator,EL202,4,1,3,0,63.0,0.990994624,122.8833333,124.0,1.0,124.0,124.0,0.988530466,735.4666667,744.0,51ST-LEX-6,401,"Lexington Av-53 St (E,M)/51 St (6)",612
1/1/23,Bronx,Elevator,EL137,1,1,0,0,182.0,1.0,124.0,124.0,1.0,124.0,124.0,0.993391577,739.0833333,744.0,PELHAMPKWY-LWP-2/5,424,Pelham Pkwy - Station,424
1/1/23,Manhattan,Elevator,EL268X,0,0,0,0,,0.930241935,115.35,124.0,0.935483871,116.0,124.0,0.934610215,695.35,744.0,49ST-BWY-N/R/Q,10,49 St - Station,10
1/1/23,Manhattan,Elevator,EL600,2,2,0,0,88.0,0.998387097,123.8,124.0,1.0,124.0,124.0,0.992607527,738.5,744.0,34ST-HUDSONYARDS-FLS-7,471,34 St-Hudson Yards - Station,471
1/1/23,Bronx,Elevator,EL131,4,2,2,2,249.0,1.0,124.0,124.0,1.0,124.0,124.0,0.972603047,723.6166667,744.0,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604
1/1/23,Manhattan,Elevator,EL210,1,1,0,0,15.0,1.0,124.0,124.0,1.0,124.0,124.0,0.993167563,738.9166667,744.0,34ST-HERALDSQ-6AV-B/D/F,227,"34 St-Herald Sq (B,D,F,M,N,Q,R)",607
1/1/23,Manhattan,Elevator,EL282,3,2,1,1,20.0,0.967741935,120.0,124.0,1.0,124.0,124.0,0.986491935,733.95,744.0,57ST-7AV-BWY-N/R/Q,9,57 St-7 Av - Station,9
1/1/23,Manhattan,Elevator,EL721,4,1,3,0,110.0,0.994354839,123.3,124.0,0.963037634,119.4166667,124.0,0.985999104,733.5833333,744.0,FULTONST-8AV-A/C,172,"Fulton St (A,C,J,Z,2,3,4,5)",628
1/1/23,Manhattan,Elevator,EL16X,0,0,0,0,,1.0,124.0,124.0,1.0,124.0,124.0,1.0,744.0,744.0,CORTLANDTST-BWY-R,21,"Chambers St (A,C)/WTC (E)/Park Place (2,3)/Cortlandt St (R, W)",624
1/1/23,Queens,Elevator,EL495X,0,0,0,0,,0.953897849,118.2833333,124.0,0.967741935,120.0,124.0,0.955107527,710.6,744.0,HOWARDBEACH-JFKAIRPORT-RKY-A,198,Howard Beach-JFK Airport - Station,198
1/1/23,Brooklyn,Elevator,EL318,9,2,7,1,22.0,0.99233871,123.05,124.0,0.975806452,121.0,124.0,0.974327957,724.9,744.0,BOROUGHHALL-CLK-2/3,335,"Court St (R)/Borough Hall (2,3,4,5)",620
1/1/23,Queens,Elevator,EL405,14,5,9,3,72.0,0.953360215,118.2166667,124.0,0.924731183,114.6666667,124.0,0.918974014,683.7166667,744.0,21ST-QUEENSBRIDGE-63S-F,221,21 St-Queensbridge - Station,221
1/1/23,Queens,Elevator,EL411,11,6,5,1,8.0,0.974193548,120.8,124.0,0.994354839,123.3,124.0,0.976008065,726.15,744.0,SUTPHINBLVD-ARCHERAV-JFKAIRPORT-QBL-E/J/Z,279,Sutphin Blvd-Archer Av-JFK Airport - Station,279
1/1/23,Bronx,Elevator,EL195,2,1,1,0,98.0,1.0,124.0,124.0,1.0,124.0,124.0,0.99202509,738.0666667,744.0,HUNTSPOINTAV-PEL-6,371,Hunts Point Av - Station,371
1/1/23,Brooklyn,Elevator,EL340,4,1,3,1,20.0,1.0,124.0,124.0,0.996370968,123.55,124.0,0.983781362,731.9333333,744.0,FRANKLINAV-8AV-C,178,"Franklin Av (C,S)",627
